name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-5189,YES,58.4,107,9.9,0.092,-3.4,0.38,-9.08,1.1e-19,6.9e-16,0,0,111,108.5,101.5,9.9,10.8,8.9
GENE-3282,YES,363.9,591.8,136,0.23,-2.1,0.24,-8.85,8.7e-19,5.6e-15,0,0,649.9,649,476.6,147.4,141.8,118.8
GENE-7330,YES,629.1,950.6,307.6,0.324,-1.6,0.19,-8.51,1.7e-17,1.1e-13,0,0,1002.6,1017.4,831.8,303.8,307.2,311.8
GENE-11062,YES,63.3,14.2,112.3,7.884,3,0.35,8.49,2.1e-17,1.4e-13,0,0,11.9,15.9,14.9,125.7,103.4,107.9
GENE-13767,YES,1744,2539.5,948.4,0.373,-1.4,0.17,-8.47,2.6e-17,1.6e-13,0,0,2570.9,2693.7,2354,985.5,951.2,908.6
GENE-13644,YES,883.3,363.3,1403.4,3.863,1.9,0.24,8.21,2.2e-16,1.4e-12,0,0,400.2,355.4,334.3,1401.1,1107.7,1701.3
GENE-7477,YES,1478.7,2190.5,766.9,0.35,-1.5,0.18,-8.2,2.4e-16,1.5e-12,0,0,1907.1,2335.3,2329.2,733.2,788.7,778.9
GENE-12848,YES,11309.8,6609.6,16009.9,2.422,1.3,0.16,8.14,4.1e-16,2.6e-12,0,0,6414.7,6469.5,6944.7,16574.4,15149.5,16305.8
GENE-19079,YES,57.1,101,13.2,0.13,-2.9,0.36,-8.07,7.1e-16,4.5e-12,0,0,94.1,114.5,94.5,11.9,11.8,15.8
GENE-3851,YES,132.7,56,209.5,3.742,1.9,0.24,7.86,3.9e-15,2.5e-11,0,0,55.5,51.8,60.7,206.8,199.9,221.7
GENE-2266,YES,49.2,88.8,9.6,0.108,-3.2,0.41,-7.8,6.0e-15,3.8e-11,0,0,85.2,85.6,95.5,13.9,8.9,5.9
GENE-9678,YES,219.8,360.6,79,0.219,-2.2,0.28,-7.79,6.8e-15,4.3e-11,0,0,441.8,345.4,294.5,89.1,86.6,61.4
GENE-13704,YES,157.9,60.3,255.5,4.239,2.1,0.28,7.4,1.3e-13,8.4e-10,0,0,77.3,51.8,51.7,224.6,295.4,246.4
GENE-2128,YES,86.8,146.7,27,0.184,-2.4,0.33,-7.33,2.3e-13,1.5e-09,0,0,183.3,145.3,111.4,24.7,25.6,30.7
GENE-7398,YES,188.7,292.8,84.6,0.289,-1.8,0.24,-7.32,2.5e-13,1.6e-09,0,0,316,316.6,245.8,82.1,94.5,77.2
GENE-14701,YES,215.5,365.5,65.6,0.179,-2.5,0.34,-7.3,2.9e-13,1.9e-09,0,0,308.1,514.7,273.6,66.3,50.2,80.2
GENE-19405,YES,32.6,61.9,3.3,0.053,-4.2,0.58,-7.29,3.1e-13,2.0e-09,0,0,52.5,60.7,72.6,2,4.9,3
GENE-7313,YES,59.4,102,16.8,0.165,-2.6,0.36,-7.26,3.8e-13,2.4e-09,0,0,103,99.5,103.5,23.7,12.8,13.9
GENE-7354,YES,1091,487,1694.9,3.481,1.8,0.25,7.23,5.0e-13,3.2e-09,0,0,430,426.1,604.9,1375.3,1908.2,1801.3
GENE-10072,YES,136.5,226.9,46.1,0.203,-2.3,0.32,-7.22,5.4e-13,3.4e-09,0,0,227.9,179.2,273.6,57.4,32.5,48.5
GENE-10996,YES,407.7,199,616.2,3.096,1.6,0.23,7.18,7.2e-13,4.6e-09,0,0,208,180.2,208.9,568.9,541.5,738.3
GENE-7696,YES,230.8,109.7,352,3.21,1.7,0.24,7.11,1.2e-12,7.4e-09,0,0,87.2,128.4,113.4,339.4,361.4,355.3
GENE-16581,YES,6394.9,2379.9,10409.9,4.374,2.1,0.3,7.07,1.6e-12,9.8e-09,0,0,1800.1,3131.7,2207.8,12130.8,7429,11669.9
GENE-4262,YES,32.1,1.3,62.9,47.466,5.6,0.81,6.9,5.3e-12,3.4e-08,0,0,0,2,2,54.4,63,71.3
GENE-14095,YES,424.1,666,182.1,0.273,-1.9,0.28,-6.77,1.2e-11,7.9e-08,0,0,710.3,605.2,682.5,121.7,207.8,216.8
GENE-6780,YES,60.8,20.2,101.4,5.018,2.3,0.34,6.76,1.4e-11,8.6e-08,0,0,15.9,23.9,20.9,89.1,119.1,96
GENE-14039,YES,112.7,46.4,179.1,3.863,1.9,0.29,6.76,1.4e-11,8.6e-08,0,0,55.5,41.8,41.8,180.1,208.7,148.5
GENE-11179,YES,75.8,22.8,128.7,5.631,2.5,0.38,6.64,3.2e-11,2.0e-07,0,0,16.8,20.9,30.8,144.5,150.6,91.1
GENE-6261,YES,31.3,60.2,2.3,0.038,-4.7,0.72,-6.56,5.4e-11,3.4e-07,0,0,85.2,56.7,38.8,4.9,1,1
GENE-8619,YES,762.9,1073.7,452.2,0.421,-1.2,0.19,-6.55,5.8e-11,3.7e-07,0,0,1200.7,1039.3,981,485.8,430.3,440.4
GENE-5890,YES,107.2,163.3,51,0.313,-1.7,0.26,-6.46,1.0e-10,6.5e-07,0,0,147.6,177.2,165.2,54.4,53.2,45.5
GENE-17410,YES,204,291.8,116.3,0.398,-1.3,0.21,-6.34,2.2e-10,1.4e-06,0,0,304.1,289.7,281.6,124.7,113.2,110.9
GENE-12920,YES,45,75.9,14.2,0.187,-2.4,0.39,-6.23,4.6e-10,2.9e-06,0,0,79.3,67.7,80.6,17.8,8.9,15.8
GENE-5119,YES,5163.4,2414.8,7912,3.276,1.7,0.28,6.18,6.6e-10,4.2e-06,0,0,2784.8,2334.3,2125.2,5734.9,10515.9,7485.3
GENE-2701,YES,112.6,55.6,169.6,3.048,1.6,0.26,6.17,7.0e-10,4.4e-06,0,0,52.5,60.7,53.7,179.1,145.7,184.1
GENE-5351,YES,146.1,77.2,215.1,2.786,1.5,0.24,6.14,8.0e-10,5.1e-06,0,0,72.3,69.7,89.5,229.6,206.8,208.8
GENE-968,YES,101.1,155.3,46.8,0.301,-1.7,0.28,-6.11,9.7e-10,6.1e-06,0,0,154.5,176.2,135.3,54.4,38.4,47.5
GENE-11785,YES,32.9,0.3,65.5,184.074,7.5,1.24,6.05,1.5e-09,9.2e-06,0,0,1,0,0,83.1,65,48.5
GENE-10613,YES,61.4,99.1,23.7,0.239,-2.1,0.34,-6.02,1.8e-09,1.1e-05,0,0,78.3,112.5,106.5,25.7,18.7,26.7
GENE-16731,YES,671.6,911.1,432.1,0.474,-1.1,0.18,-5.97,2.3e-09,1.5e-05,0,0,1001.6,870,861.6,430.4,422.4,443.4
GENE-12464,YES,25,44.7,5.3,0.118,-3.1,0.54,-5.76,8.4e-09,5.3e-05,0,0,48.5,42.8,42.8,8.9,3,4
GENE-8819,YES,46.3,77.5,15.1,0.195,-2.4,0.41,-5.74,9.2e-09,5.8e-05,0,0,53.5,78.6,100.5,15.8,12.8,16.8
GENE-2679,YES,314.8,471.5,158.1,0.335,-1.6,0.27,-5.74,9.6e-09,6.1e-05,0,0,382.4,503.7,528.3,201.8,124.1,148.5
GENE-11504,YES,18.7,36.1,1.3,0.036,-4.8,0.84,-5.71,1.1e-08,7.0e-05,0,0,31.7,40.8,35.8,1,2,1
GENE-4326,YES,36.6,11.9,61.3,5.137,2.4,0.41,5.7,1.2e-08,7.6e-05,0,0,7.9,13.9,13.9,69.3,52.2,62.4
GENE-10990,YES,1132.5,772.2,1492.9,1.933,1,0.17,5.69,1.3e-08,8.2e-05,0,0,734.1,825.2,757.2,1542.6,1444.5,1491.5
GENE-2621,YES,39.2,65.2,13.2,0.202,-2.3,0.41,-5.68,1.4e-08,8.6e-05,0,0,64.4,60.7,70.6,13.9,17.7,7.9
GENE-406,YES,24.3,42.4,6.2,0.148,-2.8,0.49,-5.66,1.6e-08,9.8e-05,0,0,44.6,39.8,42.8,6.9,5.9,5.9
GENE-320,YES,45.7,73.2,18.1,0.247,-2,0.36,-5.63,1.8e-08,1.1e-04,0,0,68.4,79.6,71.6,16.8,14.8,22.8
GENE-13350,YES,372,221.5,522.4,2.358,1.2,0.22,5.6,2.1e-08,1.3e-04,0,0,261.5,209,194,527.4,474.6,565.1
GENE-18799,YES,712.7,1030.3,395,0.383,-1.4,0.25,-5.6,2.2e-08,1.4e-04,0,0,1115.5,936.7,1038.7,410.6,294.4,480
GENE-3588,YES,1072.9,1563.1,582.8,0.373,-1.4,0.26,-5.56,2.7e-08,1.7e-04,0,0,1598,1899.3,1191.9,633.3,634.1,481
GENE-14466,YES,859.5,1209.5,509.6,0.421,-1.2,0.23,-5.54,3.1e-08,1.9e-04,0,0,1093.7,1118.9,1415.8,508.6,432.3,587.9
GENE-9772,YES,145.1,39.1,251.1,6.423,2.7,0.49,5.53,3.2e-08,2.0e-04,0,0,43.6,58.7,14.9,181.1,195,377.1
GENE-1154,YES,284.6,167.9,401.2,2.389,1.3,0.23,5.45,5.1e-08,3.2e-04,0,0,154.5,171.2,178.1,474,340.7,389
GENE-12590,YES,55.1,87.7,22.4,0.255,-2,0.36,-5.45,5.1e-08,3.2e-04,0,0,103,63.7,96.5,25.7,21.7,19.8
GENE-10618,YES,172.9,278.9,66.9,0.24,-2.1,0.38,-5.42,5.9e-08,3.7e-04,0,0,311.1,162.3,363.2,84.1,46.3,70.3
GENE-14756,YES,1748.4,914.4,2582.5,2.824,1.5,0.28,5.4,6.6e-08,4.2e-04,0,0,1236.4,690.8,815.9,2991.1,2344.4,2412
GENE-17029,YES,129.7,54.6,204.9,3.749,1.9,0.36,5.34,9.5e-08,6.0e-04,0,0,60.4,40.8,62.7,136.5,195,283.1
GENE-17220,YES,19.5,38.4,0.7,0.017,-5.9,1.1,-5.32,1.0e-07,6.5e-04,0,0,38.6,41.8,34.8,1,1,0
GENE-17690,YES,818.1,1225.2,411,0.335,-1.6,0.3,-5.32,1.0e-07,6.5e-04,0,0,795.5,1241.3,1638.7,435.4,387,410.7
GENE-17563,YES,130.6,196.1,65.2,0.332,-1.6,0.3,-5.28,1.3e-07,8.2e-04,0,0,196.2,215,177.1,84.1,67,44.5
GENE-5911,YES,15.3,2,28.7,14.417,3.8,0.74,5.22,1.8e-07,1.1e-03,0,0,2,2,2,25.7,27.6,32.7
GENE-7436,YES,83.2,146,20.5,0.14,-2.8,0.55,-5.19,2.1e-07,1.4e-03,0,0,215,157.3,65.7,22.8,7.9,30.7
GENE-11906,YES,24.2,5,43.5,8.749,3.1,0.61,5.15,2.6e-07,1.6e-03,0,0,3,2,9.9,35.6,38.4,56.4
GENE-10272,YES,19.6,0.7,38.5,58.185,5.9,1.14,5.14,2.8e-07,1.7e-03,0,0,0,2,0,48.5,22.6,44.5
GENE-7569,YES,1142.6,1837.4,447.8,0.244,-2,0.4,-5.12,3.1e-07,2.0e-03,0,0,1501.9,1443.4,2567,334.4,291.5,717.6
GENE-10541,YES,70.3,27.5,113,4.112,2,0.4,5.08,3.9e-07,2.4e-03,0,0,28.7,23.9,29.8,135.6,63,140.5
GENE-19755,YES,5560.3,8189,2931.6,0.358,-1.5,0.29,-5.04,4.7e-07,3.0e-03,0,0,11591.1,7239,5736.9,2675.5,3092.7,3026.6
GENE-2060,YES,135.1,77.8,192.3,2.471,1.3,0.26,5.03,5.0e-07,3.1e-03,0,0,93.1,76.7,63.7,211.7,186.1,179.1
GENE-4906,YES,52.4,25.5,79.4,3.112,1.6,0.33,4.99,6.0e-07,3.8e-03,0,0,23.8,23.9,28.9,71.2,75.8,91.1
GENE-9052,NO,291.8,168.3,415.2,2.467,1.3,0.26,4.96,6.9e-07,4.3e-03,0,0,122.8,199.1,183.1,374,465.7,405.8
GENE-1397,YES,34.8,10.9,58.6,5.36,2.4,0.49,4.93,8.4e-07,5.3e-03,0,0,4,11.9,16.9,68.3,60.1,47.5
GENE-18270,YES,4292.3,3029.9,5554.5,1.833,0.9,0.18,4.93,8.4e-07,5.3e-03,0,0,3372.3,2960.5,2757,5890.2,5495.2,5278.2
GENE-2445,YES,74.4,110.3,38.5,0.349,-1.5,0.31,-4.91,8.9e-07,5.6e-03,0,0,117.9,110.5,102.5,48.5,38.4,28.7
GENE-10202,YES,391.9,225,558.9,2.484,1.3,0.27,4.91,9.3e-07,5.8e-03,0,0,178.3,218,278.6,455.2,560.3,661.1
GENE-2838,YES,31.8,51.7,11.9,0.229,-2.1,0.44,-4.88,1.1e-06,6.6e-03,1e-04,0,37.6,64.7,52.7,12.9,10.8,11.9
GENE-14893,YES,764,1018.9,509.1,0.5,-1,0.21,-4.8,1.6e-06,9.8e-03,1e-04,0,1196.8,894.9,965.1,552.1,485.4,489.9
GENE-12658,YES,27.8,46.7,8.9,0.19,-2.4,0.5,-4.78,1.7e-06,1.1e-02,1e-04,0,50.5,42.8,46.8,7.9,3.9,14.8
GENE-3546,YES,37.8,11.3,64.2,5.701,2.5,0.53,4.77,1.8e-06,1.2e-02,1e-04,0,3,14.9,15.9,71.2,46.3,75.2
GENE-18919,YES,346.3,177.2,515.4,2.908,1.5,0.32,4.77,1.9e-06,1.2e-02,1e-04,0,144.6,233.9,153.2,440.3,705,400.8
GENE-13164,YES,98.2,141.1,55.3,0.392,-1.4,0.28,-4.75,2.1e-06,1.3e-02,1e-04,0,173.4,119.5,130.3,51.5,55.1,59.4
GENE-2960,YES,2146.4,2787.6,1505.2,0.54,-0.9,0.19,-4.7,2.6e-06,1.6e-02,1e-04,0,2588.7,2670.8,3103.2,1499,1358.8,1657.8
GENE-17523,NO,196.1,104.1,288.1,2.769,1.5,0.31,4.7,2.6e-06,1.6e-02,1e-04,0,63.4,134.4,114.4,275.1,310.2,279.1
GENE-18578,YES,14.8,2.7,27,10.193,3.3,0.71,4.69,2.7e-06,1.7e-02,1e-04,0,4,3,1,35.6,25.6,19.8
GENE-95,YES,267.4,366.5,168.3,0.459,-1.1,0.24,-4.69,2.8e-06,1.7e-02,1e-04,0,452.7,328.5,318.4,165.2,175.3,164.3
GENE-3695,YES,256.4,364.1,148.8,0.409,-1.3,0.28,-4.64,3.5e-06,2.2e-02,2e-04,0,344.8,410.1,337.3,119.7,199.9,126.7
GENE-9415,YES,44,66.6,21.4,0.322,-1.6,0.35,-4.63,3.6e-06,2.3e-02,2e-04,0,72.3,73.7,53.7,22.8,21.7,19.8
GENE-7053,YES,261.6,159.9,363.3,2.271,1.2,0.26,4.62,3.9e-06,2.4e-02,2e-04,0,189.2,161.3,129.3,329.5,326.9,433.5
GENE-2846,YES,13.8,1.7,26,15.716,4,0.87,4.59,4.4e-06,2.8e-02,2e-04,0,2,2,1,15.8,19.7,42.6
GENE-14727,YES,305.5,193.4,417.6,2.159,1.1,0.24,4.57,4.9e-06,3.1e-02,2e-04,0,235.8,151.3,193,444.3,419.5,389
GENE-12668,YES,186.8,270.9,102.7,0.379,-1.4,0.31,-4.56,5.1e-06,3.2e-02,2e-04,0,293.2,208.1,311.4,74.2,102.4,131.6
GENE-2436,YES,16.3,4.3,28.3,6.58,2.7,0.6,4.51,6.6e-06,4.1e-02,3e-04,0,5,4,4,35.6,20.7,28.7
GENE-18245,YES,83.4,33.8,132.9,3.935,2,0.44,4.5,6.7e-06,4.2e-02,3e-04,0,31.7,30.9,38.8,139.5,195.9,63.3
GENE-17907,YES,531,381.9,680.1,1.781,0.8,0.19,4.44,9.1e-06,5.7e-02,4e-04,0,408.2,361.4,376.1,633.3,663.6,743.3
GENE-12720,YES,12.2,1.3,23,17.398,4.1,0.94,4.4,1.1e-05,6.7e-02,5e-04,0,0,2,2,14.8,18.7,35.6
GENE-8105,YES,330.3,229.5,431.1,1.878,0.9,0.21,4.39,1.2e-05,7.2e-02,5e-04,0,258.6,198.1,231.8,446.2,412.6,434.5
GENE-9934,NO,565.8,356.3,775.2,2.176,1.1,0.26,4.37,1.3e-05,7.9e-02,6e-04,0,428,321.5,319.4,954.8,747.3,623.5
GENE-11914,YES,11.2,0.7,21.7,32.808,5,1.17,4.32,1.6e-05,9.8e-02,7e-04,0,2,0,0,20.8,27.6,16.8
GENE-3703,YES,10.9,21.2,0.7,0.031,-5,1.16,-4.31,1.6e-05,1.0e-01,7e-04,0,14.9,25.9,22.9,1,0,1
GENE-2661,YES,103,149,57,0.382,-1.4,0.32,-4.31,1.7e-05,1.0e-01,7e-04,0,153.6,121.4,172.1,62.3,38.4,70.3
GENE-12106,YES,78.5,47.4,109.6,2.315,1.2,0.29,4.23,2.4e-05,1.5e-01,0.001,0,54.5,41.8,45.8,105.9,125,98
GENE-18725,YES,705.2,360.8,1049.7,2.91,1.5,0.37,4.19,2.7e-05,1.7e-01,0.0012,0,539.9,220,322.4,1083.5,1305.6,760.1
GENE-19132,YES,898.8,437,1360.5,3.113,1.6,0.39,4.18,2.9e-05,1.8e-01,0.0013,0,332.9,475.8,502.4,938,2246.9,896.7
GENE-2185,YES,300.9,197,404.7,2.054,1,0.25,4.15,3.4e-05,2.1e-01,0.0014,0,218.9,217,155.2,337.4,448,428.6
GENE-7666,YES,43.2,20.8,65.5,3.142,1.7,0.4,4.13,3.6e-05,2.3e-01,0.0015,0,28.7,21.9,11.9,58.4,64,74.2
GENE-15297,YES,527.3,739.4,315.2,0.426,-1.2,0.3,-4.11,4.0e-05,2.5e-01,0.0017,0,885.7,456.9,875.6,311.7,307.2,326.6
GENE-19646,YES,258.6,156.8,360.5,2.3,1.2,0.29,4.08,4.5e-05,2.8e-01,0.0019,0,108,196.1,166.2,359.2,421.4,300.9
GENE-1953,NO,180.2,102.4,257.9,2.519,1.3,0.33,4.06,4.8e-05,3.0e-01,0.002,0,65.4,142.4,99.5,257.3,220.6,295.9
GENE-7737,NO,7235.6,9124.9,5346.3,0.586,-0.8,0.19,-4.05,5.1e-05,3.2e-01,0.0021,0,9074.8,9564.3,8735.6,6238.5,4937.9,4862.6
GENE-6239,YES,12,3,21.1,7.07,2.8,0.7,4.04,5.3e-05,3.3e-01,0.0022,0,3,2,4,15.8,21.7,25.7
GENE-18835,YES,14.4,24.8,4,0.159,-2.7,0.66,-4.01,6.0e-05,3.7e-01,0.0024,0,36.7,20.9,16.9,3,4.9,4
GENE-18825,NO,6.1,12.3,0,0.015,-6.1,1.52,-3.99,6.5e-05,4.1e-01,0.0026,0,3,11,22.9,0,0,0
GENE-2545,YES,32.6,53.3,11.9,0.222,-2.2,0.55,-3.96,7.5e-05,4.7e-01,0.003,0,60.4,40.8,58.7,22.8,7.9,4.9
GENE-7663,YES,31.4,49.7,13.1,0.265,-1.9,0.48,-3.96,7.5e-05,4.7e-01,0.003,0,67.4,35.8,45.8,14.8,17.7,6.9
GENE-19035,YES,853.9,1165,542.8,0.466,-1.1,0.28,-3.96,7.5e-05,4.7e-01,0.003,0,1089.8,922.8,1482.5,436.4,674.5,517.6
GENE-7849,YES,12.7,3,22.4,7.518,2.9,0.74,3.96,7.6e-05,4.8e-01,0.003,0,5.9,1,2,29.7,18.7,18.8
GENE-17424,YES,768.7,992.3,545.2,0.549,-0.9,0.22,-3.92,8.8e-05,5.5e-01,0.0034,1,1065,937.7,974.1,431.4,613.4,590.9
GENE-4320,YES,19.4,31.5,7.2,0.23,-2.1,0.54,-3.89,1.0e-04,6.4e-01,0.004,1,41.6,27.9,24.9,8.9,3.9,8.9
GENE-13778,NO,323.2,458.7,187.8,0.409,-1.3,0.33,-3.86,1.1e-04,7.2e-01,0.0044,1,531,528.6,316.4,251.3,130,182.1
GENE-11893,YES,15.2,26.8,3.6,0.135,-2.9,0.76,-3.81,1.4e-04,8.7e-01,0.0053,1,25.8,16.9,37.8,4,0,6.9
GENE-17972,YES,60,36.8,83.3,2.265,1.2,0.31,3.79,1.5e-04,9.3e-01,0.0057,1,31.7,38.8,39.8,89.1,91.6,69.3
GENE-8003,YES,25.7,11.9,39.5,3.314,1.7,0.46,3.79,1.5e-04,9.5e-01,0.0058,1,7.9,12.9,14.9,37.6,32.5,48.5
GENE-3271,YES,10.6,18.9,2.3,0.122,-3,0.8,-3.78,1.6e-04,9.7e-01,0.0059,1,19.8,17.9,18.9,0,4.9,2
GENE-16866,YES,6.2,0,12.5,68.391,6.1,1.61,3.78,1.6e-04,9.8e-01,0.0059,1,0,0,0,15.8,20.7,1
GENE-9803,YES,17.1,5.7,28.7,5.086,2.3,0.62,3.77,1.6e-04,1.0e+00,0.006,1,1,8,8,29.7,23.6,32.7
GENE-5834,NO,1075.3,526.7,1624,3.083,1.6,0.43,3.77,1.7e-04,1.0e+00,0.0061,1,286.3,668.9,624.8,1330.8,970.8,2570.3
GENE-3877,YES,42.7,61.3,24.1,0.392,-1.4,0.36,-3.74,1.8e-04,1.0e+00,0.0066,1,48.5,61.7,73.6,21.8,27.6,22.8
GENE-4945,NO,863.4,1052,674.7,0.641,-0.6,0.17,-3.74,1.8e-04,1.0e+00,0.0066,1,1041.2,1061.2,1053.6,710.4,695.1,618.6
GENE-18599,NO,6.9,0,13.9,75.713,6.2,1.67,3.74,1.8e-04,1.0e+00,0.0066,1,0,0,0,32.7,7.9,1
GENE-10,YES,8.8,15.6,2,0.127,-3,0.8,-3.7,2.1e-04,1.0e+00,0.0077,1,15.9,16.9,13.9,2,2,2
GENE-11765,NO,1130.7,1430,831.5,0.581,-0.8,0.21,-3.66,2.5e-04,1.0e+00,0.0089,1,1352.3,1253.3,1684.4,910.3,847.8,736.4
GENE-13386,NO,63.8,98,29.6,0.302,-1.7,0.47,-3.64,2.7e-04,1.0e+00,0.0096,2,130.8,123.4,39.8,33.6,28.6,26.7
GENE-1162,NO,5.1,0,10.2,55.915,5.8,1.6,3.63,2.8e-04,1.0e+00,0.0101,2,0,0,0,4.9,3,22.8
GENE-1974,YES,974.5,722.8,1226.2,1.696,0.8,0.21,3.61,3.1e-04,1.0e+00,0.0109,2,693.5,740.6,734.3,1050.8,1153,1474.7
