name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-4215,YES,0,56,52,32,77,77,94
GENE-4262,YES,0,0,2,2,55,64,72
GENE-4320,YES,0,42,28,25,9,4,9
GENE-4326,YES,0,8,14,14,70,53,63
GENE-4646,YES,0,633,748,784,97,125,102
GENE-4825,YES,0,281,266,280,402,431,519
GENE-4837,YES,0,25,24,22,26,31,38
GENE-4895,YES,0,81,67,68,113,119,103
GENE-4897,YES,0,848,663,700,81,130,131
GENE-4906,YES,0,24,24,29,72,77,92
GENE-4916,YES,0,1665,27,95,58,201,16
GENE-5119,YES,0,2811,2345,2136,5796,10680,7563
GENE-5171,YES,0,1,4,1,260,272,236
GENE-5189,YES,0,112,109,102,10,11,9
GENE-5351,YES,0,73,70,90,232,210,211
GENE-5616,YES,0,617,566,488,399,335,391
GENE-5634,YES,0,247,195,328,13,8,9
GENE-5730,YES,0,10,5,14,23,22,34
GENE-5753,YES,0,2110,2092,2192,731,725,668
GENE-5890,YES,0,149,178,166,55,54,46
GENE-5911,YES,0,2,2,2,26,28,33
GENE-5923,YES,0,23388,21388,48322,17142,4357,3711
GENE-5982,YES,0,971,1151,1362,743,927,871
GENE-5993,YES,0,482,423,359,492,431,374
GENE-6024,YES,0,1,14,6,47,19,22
GENE-6140,YES,0,96,80,56,518,465,516
GENE-6184,YES,0,1219,754,682,485,339,456
GENE-6239,YES,0,3,2,4,16,22,26
GENE-6261,YES,0,86,57,39,5,1,1
GENE-6316,YES,0,157,297,244,174,243,317
GENE-6446,YES,0,605,597,678,101,89,101
GENE-6627,YES,0,1149,1189,1050,276,263,306
GENE-6685,YES,0,65,70,61,53,56,53
GENE-6693,YES,0,21,131,30,12,26,38
GENE-6762,YES,0,3,5,6,29,16,22
GENE-6764,YES,0,2151,1663,1787,368,333,249
GENE-6780,YES,0,16,24,21,90,121,97
GENE-7008,YES,0,649,661,671,25,25,13
GENE-7053,YES,0,191,162,130,333,332,438
GENE-7104,YES,0,325,352,361,2841,2847,2211
GENE-7112,YES,0,76,53,60,117,90,132
GENE-7131,YES,0,17,11,30,8,20,10
GENE-7313,YES,0,104,100,104,24,13,14
GENE-7330,YES,0,1012,1022,836,307,312,315
GENE-7354,YES,0,434,428,608,1390,1938,1820
GENE-7398,YES,0,319,318,247,83,96,78
GENE-7436,YES,0,217,158,66,23,8,31
GENE-7477,YES,0,1925,2346,2341,741,801,787
GENE-7550,YES,0,148,148,129,154,261,175
GENE-7569,YES,0,1516,1450,2580,338,296,725
GENE-7663,YES,0,68,36,46,15,18,7
GENE-7666,YES,0,29,22,12,59,65,75
GENE-7696,YES,0,88,129,114,343,367,359
GENE-7772,YES,0,32,46,23,25,25,27
GENE-7816,YES,0,276,400,415,266,300,271
GENE-7849,YES,0,6,1,2,30,19,19
GENE-8003,YES,0,8,13,15,38,33,49
GENE-8105,YES,0,261,199,233,451,419,439
GENE-8500,YES,0,211,197,185,153,154,137
GENE-8619,YES,0,1212,1044,986,491,437,445
GENE-8672,YES,0,10,4,4,27,17,16
GENE-8819,YES,0,54,79,101,16,13,17
GENE-8847,YES,0,21,29,19,12,14,29
GENE-9247,YES,0,65,53,66,48,49,46
GENE-9362,YES,0,51,87,85,85,61,139
GENE-9403,YES,0,169,263,384,181,289,292
GENE-9415,YES,0,73,74,54,23,22,20
GENE-9525,YES,0,237,207,243,244,413,302
GENE-9661,YES,0,5029,63,1106,531,73,1188
GENE-9678,YES,0,446,347,296,90,88,62
GENE-9772,YES,0,44,59,15,183,198,381
GENE-9803,YES,0,1,8,8,30,24,33
GENE-9989,YES,0,50,47,50,81,109,105
GENE-10031,YES,0,172,176,205,255,353,220
GENE-10072,YES,0,230,180,275,58,33,49
GENE-10101,YES,0,204,115,146,146,383,139
GENE-10126,YES,0,1235,1179,1374,174,184,161
GENE-10159,YES,0,127,75,124,34,118,56
GENE-10202,YES,0,180,219,280,460,569,668
GENE-10272,YES,0,0,2,0,49,23,45
GENE-10439,YES,0,5838,5530,6533,4553,5227,5312
GENE-10541,YES,0,29,24,30,137,64,142
GENE-10613,YES,0,79,113,107,26,19,27
GENE-10618,YES,0,314,163,365,85,47,71
GENE-10677,YES,0,1239,1106,1225,199,188,210
GENE-10789,YES,0,16,5,9,718,1033,1215
GENE-10849,YES,0,24,18,28,181,186,177
GENE-10990,YES,0,741,829,761,1559,1467,1507
GENE-10996,YES,0,210,181,210,575,550,746
GENE-11062,YES,0,12,16,15,127,105,109
GENE-11139,YES,0,4,17,0,6,43,28
GENE-11179,YES,0,17,21,31,146,153,92
GENE-11253,YES,0,327,362,302,239,249,274
GENE-11504,YES,0,32,41,36,1,2,1
GENE-11635,YES,0,6,10,5,36,24,14
GENE-11785,YES,0,1,0,0,84,66,49
GENE-11808,YES,0,43,48,52,65,63,123
GENE-11893,YES,0,26,17,38,4,0,7
GENE-11906,YES,0,3,2,10,36,39,57
GENE-11914,YES,0,2,0,0,21,28,17
GENE-12106,YES,0,55,42,46,107,127,99
GENE-12456,YES,0,3296,1451,2776,1003,1482,1125
GENE-12464,YES,0,49,43,43,9,3,4
GENE-12581,YES,0,2920,9531,5961,2823,2992,3270
GENE-12590,YES,0,104,64,97,26,22,20
GENE-12658,YES,0,51,43,47,8,4,15
GENE-12668,YES,0,296,209,313,75,104,133
GENE-12720,YES,0,0,2,2,15,19,36
GENE-12848,YES,0,6475,6499,6980,16751,15386,16475
GENE-12920,YES,0,80,68,81,18,9,16
GENE-13117,YES,0,125,123,89,70,100,71
GENE-13164,YES,0,175,120,131,52,56,60
GENE-13182,YES,0,310,423,185,679,292,354
GENE-13350,YES,0,264,210,195,533,482,571
GENE-13562,YES,0,419,370,456,572,851,519
GENE-13585,YES,0,18,19,17,19,20,26
GENE-13606,YES,0,53,54,79,41,31,49
GENE-13621,YES,0,21,21,26,6,8,23
GENE-13635,YES,0,456,583,494,93,80,97
GENE-13644,YES,0,404,357,336,1416,1125,1719
GENE-13704,YES,0,78,52,52,227,300,249
GENE-13767,YES,0,2595,2706,2366,996,966,918
GENE-13886,YES,0,21,16,26,9,4,6
GENE-13920,YES,0,13,12,11,12,5,15
GENE-14039,YES,0,56,42,42,182,212,150
GENE-14095,YES,0,717,608,686,123,211,219
GENE-14109,YES,0,1141,1249,1046,73,63,66
GENE-14154,YES,0,584,454,510,535,781,720
GENE-14231,YES,0,502,486,477,435,420,376
GENE-14238,YES,0,45,3,144,36,1,20
GENE-14466,YES,0,1104,1124,1423,514,439,594
GENE-14591,YES,0,385,446,395,81,92,75
GENE-14638,YES,0,2516,2694,2230,105,101,125
GENE-14687,YES,0,590,653,1278,1040,951,1267
GENE-14701,YES,0,311,517,275,67,51,81
GENE-14727,YES,0,238,152,194,449,426,393
GENE-14756,YES,0,1248,694,820,3023,2381,2437
GENE-14831,YES,0,28,23,12,6,9,15
GENE-14893,YES,0,1208,899,970,558,493,495
GENE-14901,YES,0,1023,1679,2817,961,169,8
GENE-15086,YES,0,25,40,34,16,29,9
GENE-15297,YES,0,894,459,880,315,312,330
GENE-15332,YES,0,284,153,390,342,154,403
GENE-15777,YES,0,19,19,40,12,17,20
GENE-15907,YES,0,444,466,370,80,93,75
GENE-16130,YES,0,14,28,22,2,4,13
GENE-16186,YES,0,38,31,32,59,61,39
GENE-16581,YES,0,1817,3146,2219,12260,7545,11791
GENE-16731,YES,0,1011,874,866,435,429,448
GENE-16775,YES,0,26,15,27,346,269,375
GENE-16895,YES,0,129,187,224,111,173,149
GENE-16953,YES,0,14,22,13,10,12,8
GENE-17029,YES,0,61,41,63,138,198,286
GENE-17220,YES,0,39,42,35,1,1,0
GENE-17224,YES,0,88,77,83,101,98,121
GENE-17358,YES,0,41,30,26,33,27,13
GENE-17367,YES,0,687,680,609,380,373,492
GENE-17375,YES,0,38,46,38,66,78,47
GENE-17410,YES,0,307,291,283,126,115,112
GENE-17424,YES,0,1075,942,979,436,623,597
GENE-17563,YES,0,198,216,178,85,68,45
GENE-17690,YES,0,803,1247,1647,440,393,415
GENE-17751,YES,0,56,39,41,55,99,101
GENE-17860,YES,0,44,43,84,44,47,49
GENE-17907,YES,0,412,363,378,640,674,751
GENE-17972,YES,0,32,39,40,90,93,70
GENE-18007,YES,0,289,237,164,28,23,16
GENE-18035,YES,0,94,451,294,410,71,42
GENE-18245,YES,0,32,31,39,141,199,64
GENE-18270,YES,0,3404,2974,2771,5953,5581,5333
GENE-18412,YES,0,28,40,24,34,32,34
GENE-18414,YES,0,175,0,5,56,0,3426
GENE-18509,YES,0,222,299,176,435,361,468
GENE-18578,YES,0,4,3,1,36,26,20
GENE-18725,YES,0,545,221,324,1095,1326,768
GENE-18790,YES,0,743,486,556,478,495,568
GENE-18799,YES,0,1126,941,1044,415,299,485
GENE-18801,YES,0,520,631,701,15919,18796,14977
GENE-18835,YES,0,37,21,17,3,5,4
GENE-18919,YES,0,146,235,154,445,716,405
GENE-19035,YES,0,1100,927,1490,441,685,523
GENE-19079,YES,0,95,115,95,12,12,16
GENE-19132,YES,0,336,478,505,948,2282,906
GENE-19150,YES,0,61,71,69,31,34,29
GENE-19188,YES,0,1424,1500,2390,2466,2281,2998
GENE-19405,YES,0,53,61,73,2,5,3
GENE-19646,YES,0,109,197,167,363,428,304
GENE-19755,YES,0,11700,7272,5766,2704,3141,3058
GENE-19872,YES,0,6403,5473,6160,1467,1332,1350
GENE-19907,YES,0,768,649,699,651,889,711
GENE-1,NO,1,0,0,0,0,0,0
GENE-2,NO,1,1,0,0,0,0,0
GENE-3,NO,1,211,139,149,138,145,173
GENE-4,NO,1,0,0,0,0,0,0
GENE-5,NO,1,0,0,0,0,0,0
GENE-6,NO,1,0,0,0,0,0,0
GENE-7,NO,1,0,0,0,0,0,0
GENE-8,NO,1,0,0,0,0,0,0
GENE-9,NO,1,0,0,1,1,0,0
GENE-10,YES,1,16,17,14,2,2,2
GENE-11,YES,1,0,1,0,11,9,6
GENE-12,NO,1,0,0,0,0,0,0
GENE-13,NO,1,0,0,0,0,0,0
GENE-14,NO,1,0,0,0,0,0,0
GENE-15,NO,1,0,0,0,0,0,0
GENE-16,NO,1,7,5,8,9,6,9
GENE-17,NO,1,100,204,124,137,156,144
GENE-18,NO,1,0,0,0,0,0,0
GENE-19,NO,1,146,122,124,130,135,123
GENE-20,YES,1,0,0,0,0,0,0
GENE-21,YES,1,0,0,0,0,0,0
GENE-22,NO,1,5,4,3,10,8,5
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,26,32,23,29,33,37
GENE-25,NO,1,12,43,23,14,8,40
GENE-26,NO,1,0,0,0,0,0,0
GENE-27,NO,1,0,0,0,0,0,0
GENE-28,NO,1,0,0,0,0,0,0
GENE-29,NO,1,0,0,0,0,0,0
GENE-30,NO,1,0,0,0,0,0,0
GENE-31,NO,1,556,644,584,1033,563,687
GENE-32,NO,1,0,0,0,0,0,0
GENE-33,NO,1,1,1,0,0,0,1
GENE-34,NO,1,0,0,0,0,0,0
GENE-35,NO,1,22,16,19,14,19,10
GENE-36,NO,1,2354,2661,2440,3071,2491,2078
GENE-37,NO,1,0,0,0,0,0,0
GENE-38,NO,1,0,0,0,0,0,0
GENE-39,NO,1,75,4,7,295,124,142
GENE-40,NO,1,16,7,8,15,13,9
GENE-41,NO,1,0,0,0,0,0,0
GENE-42,NO,1,0,0,0,0,0,0
GENE-43,NO,1,0,0,0,0,0,0
GENE-44,NO,1,0,0,0,0,0,0
GENE-45,NO,1,0,0,0,0,0,0
GENE-46,NO,1,0,0,0,0,0,0
GENE-47,NO,1,0,0,0,0,0,0
GENE-48,NO,1,0,0,0,0,0,0
GENE-49,NO,1,230,203,726,183,126,254
GENE-50,NO,1,0,0,0,0,0,0
GENE-51,NO,1,19,20,20,18,21,25
GENE-52,NO,1,0,0,0,0,0,0
GENE-53,NO,1,0,0,0,0,0,0
GENE-54,NO,1,0,0,1,0,0,0
GENE-55,NO,1,0,0,0,0,0,0
GENE-56,NO,1,0,0,0,0,0,0
GENE-57,NO,1,76,77,55,86,53,91
GENE-58,NO,1,0,0,0,0,0,0
GENE-59,NO,1,1,0,2,1,0,0
GENE-60,NO,1,0,0,0,0,0,0
GENE-61,NO,1,0,0,0,0,0,0
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,NO,1,0,0,0,0,0,0
GENE-64,NO,1,0,0,0,0,0,0
GENE-65,NO,1,0,0,0,0,0,0
GENE-66,NO,1,1,0,0,1,0,0
GENE-67,NO,1,0,0,0,0,0,0
GENE-68,NO,1,4,6,2,7,5,5
GENE-69,NO,1,0,0,0,0,0,0
GENE-70,NO,1,2,0,0,2,2,2
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,0,0,0,0,0,0
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,0,0,0,0,0,0
GENE-75,NO,1,138,137,123,187,150,162
GENE-76,YES,1,0,0,0,0,0,0
GENE-77,NO,1,0,0,0,0,0,0
GENE-78,NO,1,0,0,0,0,0,0
GENE-79,NO,1,0,0,0,0,0,0
GENE-80,NO,1,0,0,0,0,0,0
GENE-81,NO,1,1,2,3,0,4,1
GENE-82,NO,1,0,0,0,0,0,0
GENE-83,NO,1,0,0,0,0,0,0
GENE-84,NO,1,0,0,0,0,0,0
GENE-85,NO,1,0,0,0,0,0,0
GENE-86,NO,1,0,0,0,0,0,0
GENE-87,NO,1,0,0,0,0,0,0
GENE-88,NO,1,0,0,0,0,0,0
GENE-89,NO,1,0,0,0,0,0,0
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,0,0,0,0,0,0
GENE-92,NO,1,67,69,77,53,88,78
GENE-93,NO,1,327,378,298,301,392,301
GENE-94,NO,1,190,182,222,214,219,210
GENE-96,NO,1,152,130,95,124,145,106
GENE-97,NO,1,0,0,0,0,0,0
GENE-98,NO,1,0,0,0,0,0,0
GENE-100,NO,1,0,0,0,0,0,0
GENE-101,NO,1,0,0,0,0,0,0
GENE-102,NO,1,0,0,0,0,0,0
GENE-103,NO,1,0,0,0,0,0,0
GENE-104,NO,1,0,0,0,0,0,0
GENE-105,NO,1,0,0,0,0,0,0
GENE-106,NO,1,215,195,162,188,93,101
GENE-107,NO,1,0,0,0,0,0,0
GENE-108,NO,1,62,40,41,17,76,53
GENE-109,NO,1,0,0,0,0,0,0
GENE-110,NO,1,0,0,0,0,0,0
GENE-111,NO,1,0,0,0,0,0,0
GENE-112,NO,1,0,0,0,0,0,0
GENE-113,NO,1,0,0,0,0,0,0
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,19,16,23,17,16,17
GENE-116,NO,1,23,18,30,16,45,19
GENE-117,NO,1,9,10,11,10,5,10
GENE-118,NO,1,197,292,336,221,260,367
GENE-119,NO,1,0,0,0,0,0,0
GENE-120,NO,1,0,0,0,0,0,0
GENE-121,NO,1,21,12,18,21,14,11
GENE-122,NO,1,0,0,0,0,0,0
GENE-123,NO,1,0,0,0,0,0,0
GENE-124,NO,1,0,0,0,0,0,0
GENE-125,NO,1,1,0,0,0,0,0
GENE-126,NO,1,0,0,0,0,0,0
GENE-127,YES,1,0,0,0,0,0,0
GENE-128,NO,1,11,14,15,18,22,21
GENE-129,NO,1,0,0,0,0,0,0
GENE-130,NO,1,0,0,0,0,0,0
GENE-131,NO,1,2,1,2,4,3,0
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,100,238,195,164,135,209
GENE-135,NO,1,0,0,0,0,0,0
GENE-136,NO,1,0,0,0,0,0,0
GENE-137,NO,1,0,0,0,0,0,0
GENE-138,NO,1,0,0,0,0,0,0
GENE-139,NO,1,0,0,0,0,0,0
GENE-140,NO,1,2,0,0,0,0,1
GENE-141,NO,1,0,0,0,0,0,0
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,NO,1,28,18,29,27,24,27
GENE-144,NO,1,0,0,0,0,0,0
GENE-145,NO,1,0,0,0,0,0,0
GENE-146,NO,1,0,0,0,0,0,0
GENE-147,NO,1,1,3,3,2,5,2
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,22,11,18,25,38,20
GENE-150,NO,1,0,0,0,0,0,0
GENE-151,NO,1,0,0,0,0,0,0
GENE-152,NO,1,2754,3151,3742,3056,3628,3714
GENE-153,NO,1,0,0,0,0,0,0
GENE-154,NO,1,3,1,0,1,0,0
GENE-155,NO,1,2,1,0,0,0,0
GENE-156,NO,1,331,294,291,301,280,286
GENE-157,NO,1,0,0,0,0,0,0
GENE-158,NO,1,218,124,152,117,200,134
GENE-159,NO,1,0,0,0,0,0,0
GENE-160,NO,1,0,0,0,0,0,0
GENE-161,NO,1,0,0,0,0,0,0
GENE-162,NO,1,0,0,0,0,0,0
GENE-163,NO,1,45,37,34,28,32,48
GENE-164,NO,1,25,19,16,26,25,19
GENE-165,YES,1,0,0,0,0,0,0
GENE-166,NO,1,7,11,11,5,10,6
GENE-167,NO,1,11,12,9,12,8,16
GENE-168,NO,1,0,0,0,0,0,0
GENE-169,NO,1,9,17,11,13,23,21
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,165,199,174,160,169,183
GENE-172,NO,1,0,0,0,0,0,0
GENE-173,NO,1,26,16,23,34,27,28
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,411,314,248,311,394,286
GENE-176,NO,1,0,0,0,0,0,0
GENE-177,NO,1,0,0,0,0,0,0
GENE-178,NO,1,109,134,97,109,134,96
GENE-179,YES,1,0,0,0,0,0,0
GENE-180,NO,1,0,0,0,0,0,0
GENE-181,NO,1,199,241,270,236,233,191
GENE-182,NO,1,0,0,0,0,0,0
GENE-183,NO,1,0,0,0,0,0,0
GENE-184,NO,1,0,0,0,0,0,0
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,210,635,321,198,445,304
GENE-187,NO,1,0,0,0,0,0,0
GENE-188,NO,1,0,0,0,0,0,0
GENE-189,NO,1,0,0,0,0,0,0
GENE-190,NO,1,71,65,70,72,80,82
GENE-191,NO,1,0,0,0,0,0,0
GENE-192,NO,1,0,0,0,0,0,0
GENE-193,NO,1,0,0,0,0,0,0
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,0,0,0,0,0,0
GENE-196,NO,1,0,0,0,0,0,0
GENE-197,NO,1,123,123,120,81,132,109
GENE-198,NO,1,27,31,35,9,28,25
GENE-199,NO,1,0,0,0,0,0,0
GENE-200,NO,1,0,0,0,0,0,0
GENE-201,NO,1,0,0,0,0,0,0
GENE-202,NO,1,0,0,0,0,0,0
GENE-203,NO,1,0,0,0,0,0,0
GENE-204,NO,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-206,NO,1,13,10,18,36,17,26
GENE-207,NO,1,0,0,0,0,0,0
GENE-208,NO,1,0,0,0,0,0,0
GENE-209,NO,1,67,55,77,60,59,64
GENE-210,NO,1,0,0,0,0,0,0
GENE-211,NO,1,0,0,0,0,0,0
GENE-212,NO,1,0,0,0,0,0,0
GENE-213,NO,1,0,0,0,0,0,0
GENE-214,NO,1,0,0,0,0,0,0
GENE-215,NO,1,62,109,46,51,51,40
GENE-216,NO,1,56,53,72,90,96,87
GENE-217,NO,1,679,467,542,1055,226,484
GENE-218,NO,1,1,6,2,2,7,4
GENE-219,NO,1,2,1,1,0,0,1
GENE-220,NO,1,89,87,86,63,35,77
GENE-221,NO,1,519,474,517,428,403,487
GENE-222,NO,1,51,44,40,38,45,55
GENE-223,NO,1,0,0,0,0,0,0
GENE-224,NO,1,70,58,65,49,62,62
GENE-225,NO,1,2,4,6,4,3,2
GENE-226,NO,1,0,0,0,0,0,0
GENE-227,NO,1,0,0,0,0,0,0
GENE-228,NO,1,570,653,684,575,862,681
GENE-229,NO,1,288,228,260,268,210,220
GENE-230,NO,1,0,0,0,0,0,0
GENE-231,NO,1,0,0,0,0,0,0
GENE-232,NO,1,7,15,13,8,10,11
GENE-233,NO,1,0,0,0,0,0,0
GENE-234,NO,1,0,0,0,0,0,0
GENE-235,NO,1,1167,917,1046,1326,929,1009
GENE-236,NO,1,823,641,735,844,690,649
GENE-237,NO,1,12,12,9,15,15,11
GENE-238,NO,1,0,0,0,0,0,0
GENE-239,NO,1,0,0,0,0,0,0
GENE-240,NO,1,0,0,0,0,0,0
GENE-241,NO,1,0,0,0,0,0,0
GENE-242,NO,1,503,387,373,373,490,590
GENE-243,NO,1,0,0,0,0,0,0
GENE-244,NO,1,0,0,0,0,0,0
GENE-245,NO,1,0,0,0,0,0,0
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,NO,1,0,1,1,0,1,1
GENE-248,NO,1,0,0,0,0,0,0
GENE-249,NO,1,0,0,0,0,0,0
GENE-250,NO,1,0,0,0,0,0,0
GENE-251,NO,1,4,4,11,23,11,2
GENE-252,NO,1,0,0,0,0,0,0
GENE-253,NO,1,0,0,0,0,0,0
GENE-254,NO,1,0,0,0,0,0,0
GENE-255,NO,1,8,4,3,11,4,4
GENE-256,NO,1,0,0,0,0,0,0
GENE-257,NO,1,0,0,0,0,0,0
GENE-258,NO,1,0,0,0,0,0,0
GENE-259,NO,1,1113,1077,1029,963,1007,992
GENE-260,NO,1,57,78,66,80,74,57
GENE-261,NO,1,0,0,0,0,0,0
GENE-262,NO,1,0,0,0,0,0,0
GENE-263,NO,1,1,4,0,1,2,1
GENE-264,NO,1,0,0,0,0,0,0
GENE-265,NO,1,148,180,135,199,150,159
GENE-266,NO,1,0,0,0,0,0,0
GENE-267,NO,1,326,256,296,251,287,361
GENE-268,NO,1,27,25,24,16,18,14
GENE-269,NO,1,0,0,0,0,0,0
GENE-270,NO,1,0,0,0,0,0,0
GENE-271,YES,1,0,0,0,0,0,0
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,YES,1,0,0,0,0,0,0
GENE-274,NO,1,0,0,0,0,0,0
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,NO,1,0,0,0,0,0,0
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,140,106,155,87,102,85
GENE-279,NO,1,0,0,0,0,0,0
GENE-280,NO,1,0,0,0,0,0,0
GENE-281,NO,1,0,0,0,0,0,0
GENE-282,NO,1,154,139,151,243,169,98
GENE-283,NO,1,0,0,0,0,0,0
GENE-284,NO,1,0,0,0,0,0,0
GENE-285,NO,1,0,0,0,0,0,0
GENE-286,NO,1,0,0,0,0,0,0
GENE-287,NO,1,0,0,0,0,0,0
GENE-288,NO,1,0,0,0,0,0,0
GENE-289,NO,1,1397,1274,1274,1461,1290,1261
GENE-290,NO,1,0,0,0,0,0,0
GENE-291,NO,1,0,0,0,0,0,0
GENE-292,NO,1,0,0,0,0,0,0
GENE-293,NO,1,0,0,0,0,0,0
GENE-294,NO,1,2,1,1,2,1,3
GENE-295,NO,1,0,0,0,0,0,0
GENE-296,NO,1,2,1,0,2,2,0
GENE-297,NO,1,0,0,0,0,0,0
GENE-298,NO,1,40,42,25,23,45,22
GENE-299,NO,1,430,1006,463,393,214,200
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,185,45,430,204,129,113
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,0,0,0,0,0,0
GENE-304,NO,1,22,49,34,35,30,25
GENE-305,NO,1,2,2,2,6,3,3
GENE-306,NO,1,0,0,0,0,0,0
GENE-307,NO,1,0,0,0,0,0,0
GENE-308,NO,1,0,0,0,0,0,0
GENE-309,NO,1,1,0,0,0,6,2
GENE-310,NO,1,55,53,69,61,65,52
GENE-311,NO,1,0,0,0,0,0,0
GENE-312,YES,1,0,0,0,0,0,0
GENE-313,NO,1,63,81,97,88,93,108
GENE-314,YES,1,0,0,0,0,0,0
GENE-315,YES,1,1,0,0,0,0,1
GENE-316,NO,1,0,0,0,0,0,0
GENE-317,NO,1,0,0,0,0,0,0
GENE-318,NO,1,87,82,116,93,104,143
GENE-319,NO,1,1371,2068,1000,1105,1692,1292
GENE-321,NO,1,0,0,0,0,0,0
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,476,575,636,506,545,314
GENE-324,NO,1,13,16,12,9,7,12
GENE-325,NO,1,66,52,69,83,47,52
GENE-326,NO,1,19,29,31,39,51,43
GENE-327,NO,1,0,0,0,0,0,0
GENE-328,NO,1,0,0,0,0,0,0
GENE-329,NO,1,0,0,0,0,0,0
GENE-330,NO,1,11,8,14,11,15,3
GENE-331,NO,1,0,0,0,0,0,0
GENE-332,NO,1,0,0,0,0,0,0
GENE-333,NO,1,0,0,0,0,0,0
GENE-334,NO,1,0,0,0,0,0,0
